# (c) Die Bundeswahlleiterin (im Auftrag der Herausgebergemeinschaft), Wiesbaden 2025
# Bundestagswahl 2025, Zweitstimmen nach Gemeinden (Wahlbezirksstatistik, gemeinsam ausgezählte Briefwahl anteilig verteilt, geschätzt)
Gemeindeschlüssel;Gemeinde;Wahlberechtigte;Wählende;Gültige · Zweitstimmen;CDU · Zweitstimmen;CSU · Zweitstimmen;SPD · Zweitstimmen;AfD · Zweitstimmen;GRÜNE · Zweitstimmen;FDP · Zweitstimmen;Die Linke · Zweitstimmen;BSW · Zweitstimmen;FREIE WÄHLER · Zweitstimmen;Übrige · Zweitstimmen;Briefwahl;Auszählungseinheit;Enthält
01001000;Flensburg, Stadt;69358;55072;54751;9553;0;8584;7573;11284;1806;7042;1822;180;6907;eigene Auszählung;;
01002000;Kiel, Landeshauptstadt;183830;151581;150775;28257;0;29076;16447;34823;5773;21728;5060;525;9086;eigene Auszählung;;
01003000;Lübeck, Hansestadt;162925;129549;128786;28144;0;27615;19687;23610;4880;14043;4862;871;5074;eigene Auszählung;;
01004000;Neumünster, Stadt;58634;44693;44350;11235;0;8689;9888;4656;1837;3574;2047;326;2098;eigene Auszählung;;
01051001;Albersdorf;2819;2261,1;2240,5;660,6;0;391,4;487;209,1;106,4;147,2;78;16,9;143,9;anteilig geschätzt;Amt Mitteldithmarschen;Wennbüttel
01051002;Arkebek;243;219,2;217,1;70,5;0;39,7;39,2;19,7;13,1;10,7;5,9;0,7;17,6;anteilig geschätzt;Amt Mitteldithmarschen;Schrum
01051003;Averlak;511;433,6;431,2;117,9;0;65,6;152;16;12,1;18,2;10,4;4,6;34,4;anteilig geschätzt;Amt Burg-St. Michaelisdonn;
01051004;Bargenstedt;775;674,7;670,2;234,1;0;90,5;141,9;60,6;42,2;34,1;24,5;8,2;34,1;anteilig geschätzt;Amt Mitteldithmarschen;
01051005;Barkenholm;145;136,2;135,1;42,1;0;22,6;24,9;15,4;7,9;6,8;4,7;1,3;9,4;anteilig geschätzt;KSLG Eider;
01051006;Barlt;591;519,2;516,9;161,4;0;92,3;127;38,1;28,5;26,7;11;8,4;23,5;anteilig geschätzt;Amt Mitteldithmarschen;
01051010;Brickeln;162;134,8;132,7;38,6;0;17,6;44,8;6,4;4;8,6;2,7;0,8;9,2;anteilig geschätzt;Amt Burg-St. Michaelisdonn;
01051011;Brunsbüttel, Stadt;9794;7807;7758;2050;0;1581;1796;666;430;479;285;56;415;eigene Auszählung;;
01051012;Buchholz;841;715,3;711,8;249,6;0;109,8;167,3;42,6;43,2;38;25,1;8,5;27,7;anteilig geschätzt;Amt Burg-St. Michaelisdonn;
01051013;Büsum;4152;3347,3;3330,3;1140,6;0;658,4;557,5;345,8;204,2;144,4;99,2;24,7;155,5;anteilig geschätzt;Amt Büsum-Wesselburen;
01051014;Büsumer Deichhausen;322;271,6;269,3;83,1;0;59,9;34,4;32,9;22,4;12,3;13,6;0,6;10,1;anteilig geschätzt;Amt Büsum-Wesselburen;
01051015;Bunsoh;722;633,3;630,9;225,8;0;79,6;97,6;63,2;33,7;46,5;25,1;4,1;55,3;anteilig geschätzt;Amt Mitteldithmarschen;Immenstedt
01051016;Burg (Dithmarschen);3400;2762,9;2744,1;786,8;0;489,1;683,1;234,3;148,3;167,6;82,9;23;129;anteilig geschätzt;Amt Burg-St. Michaelisdonn;
01051017;Busenwurth;252;225,5;225,3;59,7;0;32,1;57,9;18,5;21,7;18,4;4,5;1,8;10,7;anteilig geschätzt;Amt Mitteldithmarschen;
01051019;Dellstedt;596;515,7;514,5;197,6;0;65,4;112,2;31,9;24,5;26,4;19,1;4,9;32,5;anteilig geschätzt;KSLG Eider;
01051020;Delve;681;579,1;577,9;179;0;90,2;124,3;43,9;36,1;34;21,7;2,2;46,5;anteilig geschätzt;KSLG Eider;Wallen
01051021;Diekhusen-Fahrstedt;562;484,8;480,7;142,2;0;88,1;111;32,2;28,3;33,7;14,5;4,4;26,3;anteilig geschätzt;Amt Marne-Nordsee;
01051022;Dingen;529;474,1;470,8;122,6;0;99,4;113,9;35,8;22,5;26,6;17;7,4;25,6;anteilig geschätzt;Amt Burg-St. Michaelisdonn;
01051023;Dörpling;497;411;409,8;129,6;0;51,5;108,3;29,4;23,2;23,1;14,9;2,9;26,9;anteilig geschätzt;KSLG Eider;
01051024;Eddelak;1094;927,7;922,7;303,2;0;153,3;229,1;54;42,4;50,4;29,7;8,2;52,4;anteilig geschätzt;Amt Burg-St. Michaelisdonn;
01051026;Eggstedt;635;552,5;551,1;167,9;0;95,8;126,7;35,1;31;32,5;22,2;5;34,9;anteilig geschätzt;Amt Burg-St. Michaelisdonn;
01051027;Elpersbüttel;725;641,5;637,1;227,6;0;103,9;127,1;56,6;27,5;32,3;15,9;10;36,2;anteilig geschätzt;Amt Mitteldithmarschen;
01051028;Epenwöhrden;614;516,5;510,1;141,7;0;88,7;114,7;46,9;24;36,4;19,6;4,6;33,5;anteilig geschätzt;Amt Mitteldithmarschen;
01051030;Fedderingen;236;197,2;197,1;65,6;0;27,6;40;22,2;9,9;10,8;5,7;0,5;14,8;anteilig geschätzt;KSLG Eider;
01051032;Frestedt;309;268,5;268,2;89,3;0;38,2;55,9;20,2;20,3;15,2;5,7;4,3;19,1;anteilig geschätzt;Amt Burg-St. Michaelisdonn;
01051034;Friedrichskoog;2024;1677,9;1664,1;504,8;0;281,1;425,4;99,9;101,4;80;65,7;25,4;80,4;anteilig geschätzt;Amt Marne-Nordsee;
01051035;Gaushorn;152;127,9;125,9;34,7;0;16,3;31,6;10,8;7,1;9,1;8;0,4;7,9;anteilig geschätzt;KSLG Eider;
01051036;Glüsing;88;84;83;32,5;0;11;12,2;5,8;10;2;1,9;0,2;7,4;anteilig geschätzt;KSLG Eider;
01051037;Großenrade;382;329,8;329,5;94,6;0;52,8;75,6;32,5;11,9;27,8;9,5;5,2;19,6;anteilig geschätzt;Amt Burg-St. Michaelisdonn;
01051039;Gudendorf;331;304,1;302,9;89,8;0;54,3;70,7;20,5;17;14,8;12,7;3,9;19,2;anteilig geschätzt;Amt Mitteldithmarschen;
01051043;Hedwigenkoog;160;142,2;142,1;55,8;0;23,8;21,8;17,6;3,8;4,3;7;4,2;3,8;anteilig geschätzt;Amt Büsum-Wesselburen;
01051044;Heide, Stadt;16527;12590;12505;3330;0;2391;2475;1310;593;1089;492;76;749;eigene Auszählung;;
01051045;Hellschen-Heringsand-Unterschaar;121;110;107,9;39,6;0;11,8;25,1;14;6;4,8;2,6;0,1;3,9;anteilig geschätzt;Amt Büsum-Wesselburen;
01051046;Helse;705;597,4;590,1;173,3;0;102,8;126,4;47,3;42,4;34;24,3;6;33,6;anteilig geschätzt;Amt Marne-Nordsee;
01051047;Hemme;384;317,5;317,4;98,6;0;54,8;63,7;27,2;23,6;13,6;10,3;2,9;22,7;anteilig geschätzt;KSLG Eider;
01051048;Hemmingstedt;2255;1935,1;1923,1;552,7;0;384,1;377,9;152;100,2;121,3;75;20;139,9;anteilig geschätzt;KSLG Heider Umland;
01051049;Hennstedt;1757;1453,1;1441,4;456,1;0;200,6;341,2;114,8;91,6;78,4;61,1;9,9;87,7;anteilig geschätzt;KSLG Eider;Bergewöhrden
01051051;Hochdonn;918;766,3;759,6;218,2;0;115,9;201,7;62,8;36;42,4;25,7;9,2;47,7;anteilig geschätzt;Amt Burg-St. Michaelisdonn;
01051053;Hollingstedt;260;211,7;211,6;74,7;0;32,2;43,6;13,4;13,4;13,4;5,3;4,4;11,2;anteilig geschätzt;KSLG Eider;
01051057;Kaiser-Wilhelm-Koog;261;240,2;237,1;81,4;0;45,7;35,8;23,2;12,2;12,5;8,7;4,9;12,7;anteilig geschätzt;Amt Marne-Nordsee;
01051058;Karolinenkoog;118;102,9;102,8;39,5;0;13,5;19,6;3,1;11,2;7,1;4,1;1,2;3,5;anteilig geschätzt;KSLG Eider;
01051060;Kleve;340;298,7;298,6;104,9;0;41,1;61,6;33,1;15,4;13,3;11,2;0,6;17,4;anteilig geschätzt;KSLG Eider;
01051061;Krempel;504;411,7;409,5;118,6;0;83,4;94,2;27,9;23,5;13,4;18,1;1,9;28,5;anteilig geschätzt;KSLG Eider;
01051062;Kronprinzenkoog;690;596,3;593;173,4;0;109,1;145,1;49,1;37,4;25,9;23;3,3;26,7;anteilig geschätzt;Amt Marne-Nordsee;
01051063;Krumstedt;444;386,7;384,5;119,9;0;70,5;72,6;35,4;30,3;22,2;13;3;17,6;anteilig geschätzt;Amt Mitteldithmarschen;
01051064;Kuden;529;452,8;452,4;136,6;0;67,6;116,6;30,5;22,7;31,1;15,9;6,9;24,5;anteilig geschätzt;Amt Burg-St. Michaelisdonn;
01051065;Lehe;884;735,8;730,4;205,1;0;123,6;149,4;57;38,6;45,5;34,8;7,9;68,5;anteilig geschätzt;KSLG Eider;
01051067;Lieth;324;250,3;249,2;91,1;0;46,9;52;16,8;9,3;10,1;8,5;2,4;12,1;anteilig geschätzt;KSLG Heider Umland;
01051068;Linden;689;600,5;598,2;184,1;0;93,3;126,7;49;46,8;36,7;23,3;1,5;36,8;anteilig geschätzt;KSLG Eider;
01051069;Lohe-Rickelshof;1670;1451,9;1447,1;477,7;0;286,8;215,4;182,9;66,3;86,9;51,3;12,1;67,7;anteilig geschätzt;KSLG Heider Umland;
01051071;Lunden;1362;963,7;958,2;233,5;0;170,2;242,7;74,7;40,8;73,7;48,8;5,6;68,2;anteilig geschätzt;KSLG Eider;Groven
01051072;Marne, Stadt;4524;3550,4;3525,7;979,5;0;663,7;766,5;290,2;280;210,4;132,4;30,1;172,9;anteilig geschätzt;Amt Marne-Nordsee;
01051073;Marnerdeich;304;254,5;251,4;84,8;0;36,8;64,6;19,4;10,8;12,1;7,2;3;12,7;anteilig geschätzt;Amt Marne-Nordsee;
01051074;Meldorf, Stadt;5760;4666,1;4625,4;1259,1;0;887,5;841,4;601,2;209,7;348,2;169,3;41,9;267,1;anteilig geschätzt;Amt Mitteldithmarschen;
01051075;Neuenkirchen;771;650,6;648,2;204,5;0;112,4;154,6;53;35,2;29,6;21,2;3,3;34,4;anteilig geschätzt;KSLG Heider Umland;
01051076;Neufeld;472;413,3;412,1;127,1;0;70,9;82,5;34,2;33,8;26,2;8,9;2,6;25,9;anteilig geschätzt;Amt Marne-Nordsee;
01051077;Neufelderkoog;100;92,8;92,8;46,7;0;6,6;14;8,9;6;4,1;0,9;1,3;4,3;anteilig geschätzt;Amt Marne-Nordsee;
01051078;Nindorf;952;853;851,4;262,7;0;157,1;158,2;101,5;47;45,7;23,1;7,1;49;anteilig geschätzt;Amt Mitteldithmarschen;
01051079;Norddeich;388;341,6;340,3;109,8;0;61,7;56,3;34,8;21,3;17,3;16,5;5,6;17;anteilig geschätzt;Amt Büsum-Wesselburen;Hillgroven
01051080;Norderheistedt;109;94,3;94,2;38,9;0;16,3;18,4;5,4;4,8;5,7;1,7;0,1;2,9;anteilig geschätzt;KSLG Eider;
01051081;Norderwöhrden;196;168,6;168,5;71;0;27,2;24,3;8;16,9;5,7;5,9;2,5;7;anteilig geschätzt;KSLG Heider Umland;
01051082;Nordhastedt;2190;1867,4;1854,4;609,8;0;372,1;341,6;176,8;84,1;95,3;48,3;14,8;111,6;anteilig geschätzt;KSLG Heider Umland;
01051083;Odderade;271;230,8;230,7;60,4;0;35;64;17,4;13,7;10,2;9,5;1,5;19;anteilig geschätzt;Amt Mitteldithmarschen;
01051084;Oesterdeichstrich;182;153,4;153,3;60,8;0;23,2;20,5;9,3;9,6;11,2;5;1,2;12,5;anteilig geschätzt;Amt Büsum-Wesselburen;
01051085;Offenbüttel;209;190,4;188,3;78,1;0;21,1;30,6;14,9;14,2;9,6;5,1;1,4;13,3;anteilig geschätzt;Amt Mitteldithmarschen;
01051086;Osterrade;327;289,5;288,2;109,5;0;48,4;50,2;30;12,5;14,4;8,2;2,1;12,9;anteilig geschätzt;Amt Mitteldithmarschen;
01051087;Ostrohe;753;666,3;662;234,8;0;105,2;114;67,4;39,4;37,8;23,4;5,3;34,7;anteilig geschätzt;KSLG Heider Umland;
01051088;Pahlen;953;812,7;806,4;291,4;0;102,7;173,6;64,1;53,6;41,5;22,9;7,9;48,7;anteilig geschätzt;KSLG Eider;
01051089;Quickborn;154;140,7;138,6;33;0;17,2;45,7;11,6;10,2;8,5;3;2,5;6,9;anteilig geschätzt;Amt Burg-St. Michaelisdonn;
01051090;Ramhusen;118;103,1;102;36,6;0;9,9;28,4;5,6;6,8;1,9;4,7;0,2;7,9;anteilig geschätzt;Amt Marne-Nordsee;
01051092;Rehm-Flehde-Bargen;455;388,7;388,6;115,3;0;49,2;103,1;37,9;13,4;22,4;23,1;2,9;21,3;anteilig geschätzt;KSLG Eider;
01051093;Reinsbüttel;356;320,4;318,1;84,2;0;69,5;60,8;38,2;18,6;10,5;8,7;5,6;22;anteilig geschätzt;Amt Büsum-Wesselburen;Friedrichgabekoog
01051096;Sankt Annen;262;217,9;217,8;68,6;0;28,5;55;24,7;8,2;6,1;7;3,5;16,2;anteilig geschätzt;KSLG Eider;
01051097;Sankt Michaelisdonn;2833;2322,3;2309,1;702,2;0;395,6;571,7;169,3;102,6;142,7;67,5;29,9;127,6;anteilig geschätzt;Amt Burg-St. Michaelisdonn;
01051098;Sarzbüttel;595;528,1;526,8;151,5;0;91,8;109,4;52,7;34,3;25,7;17,8;5,6;38;anteilig geschätzt;Amt Mitteldithmarschen;
01051099;Schafstedt;1101;955,2;953,6;295,4;0;146,5;195,6;95,8;55,1;66,6;26,3;13,8;58,5;anteilig geschätzt;Amt Mitteldithmarschen;
01051100;Schalkholz;488;408,8;406,6;129,5;0;37,1;101,1;37,6;31,4;20,3;17;1,1;31,5;anteilig geschätzt;KSLG Eider;
01051102;Schlichting;195;163,1;162,1;53,4;0;18,7;38;15,5;6,9;9,9;9,8;2,3;7,6;anteilig geschätzt;KSLG Eider;
01051103;Schmedeswurth;152;130,6;129,5;40,9;0;19,4;26,7;11,3;12,2;10,3;3;1,3;4,4;anteilig geschätzt;Amt Marne-Nordsee;
01051105;Schülp;325;277;274,8;79,8;0;55,5;51,4;35;17;8,3;8,7;2,4;16,7;anteilig geschätzt;Amt Büsum-Wesselburen;
01051107;Stelle-Wittenwurth;403;299,8;299,6;96,5;0;44,3;62,7;25,4;14,5;16,2;9,9;4,7;25,4;anteilig geschätzt;KSLG Heider Umland;
01051108;Strübbel;76;64,3;63,2;21,9;0;9,8;3,6;11,5;4,7;0,6;0,4;4,1;6,6;anteilig geschätzt;Amt Büsum-Wesselburen;
01051109;Süderdeich;358;301,6;301,3;94,8;0;55,7;45,3;37,8;18,3;14,3;11,5;1,6;22;anteilig geschätzt;Amt Büsum-Wesselburen;
01051110;Süderhastedt;616;518,7;515,2;204,6;0;68,2;112,9;40,8;28,8;15,5;15,8;8,3;20,3;anteilig geschätzt;Amt Burg-St. Michaelisdonn;
01051113;Wöhrden;926;777,4;773,9;250,4;0;142,5;135,5;66,6;48,9;43;23,6;7,9;55,5;anteilig geschätzt;KSLG Heider Umland;
01051114;Tellingstedt;2207;1835,7;1825,9;666;0;266,1;372,3;132,2;118,1;93,9;72,4;10,5;94,4;anteilig geschätzt;KSLG Eider;Hövede
01051117;Tielenhemme;130;120,4;120,3;40,8;0;15;26,2;9;8,7;8,6;4,6;0,3;7,1;anteilig geschätzt;KSLG Eider;
01051118;Trennewurth;204;176,1;175,1;48,2;0;30,8;48,9;14,1;9,6;6,7;4,4;1,4;11;anteilig geschätzt;Amt Marne-Nordsee;
01051119;Volsemenhusen;273;237,5;235,3;62,1;0;34;60,7;29,5;14,9;14,2;7,3;1,1;11,5;anteilig geschätzt;Amt Marne-Nordsee;
01051121;Warwerort;208;187,7;185,5;61,9;0;38,7;33,1;17,7;8,3;9,5;5,9;2,4;8;anteilig geschätzt;Amt Büsum-Wesselburen;
01051122;Weddingstedt;1895;1612,4;1599,4;554,9;0;300,6;279,7;135,9;94,2;88,5;43,7;15,7;86,2;anteilig geschätzt;KSLG Heider Umland;
01051125;Welmbüttel;341;280,6;278,5;76,4;0;46,5;71,2;22,2;14,5;16,5;11,2;1,8;18,2;anteilig geschätzt;KSLG Eider;
01051127;Wesselburen, Stadt;2264;1735,4;1730,1;524,3;0;340,5;384,7;145,3;91,4;81,5;51;13,7;97,7;anteilig geschätzt;Amt Büsum-Wesselburen;
01051128;Wesselburener Deichhausen;102;95,2;95,1;29,6;0;14,2;19,8;13,7;3,8;7,6;1,5;1,1;3,8;anteilig geschätzt;Amt Büsum-Wesselburen;
01051129;Wesselburenerkoog;140;118,2;118,1;44,6;0;16,2;29,8;9,7;5,8;2,6;4,5;1,1;3,8;anteilig geschätzt;Amt Büsum-Wesselburen;
01051130;Wesseln;1132;997,2;992,6;308,5;0;204,1;171,4;102,3;57,7;51,6;36,3;6,3;54,4;anteilig geschätzt;KSLG Heider Umland;
01051131;Westerborstel;86;84,2;84,1;39,6;0;8,6;10,7;9,6;5,9;2,8;0,8;0,1;6;anteilig geschätzt;KSLG Eider;
01051132;Westerdeichstrich;721;603,7;602,1;177,1;0;120,4;129,7;53,7;39,2;26;21,4;3,2;31,4;anteilig geschätzt;Amt Büsum-Wesselburen;
01051133;Wiemerstedt;131;124,1;124;55,2;0;8,9;33;13,7;4;0,9;1,9;0,2;6,2;anteilig geschätzt;KSLG Eider;
01051134;Windbergen;617;532,7;530,4;168,5;0;71,1;128,2;57,4;19,9;27,2;14,4;8,5;35,2;anteilig geschätzt;Amt Mitteldithmarschen;
01051135;Wolmersdorf;276;251,3;250,1;73,9;0;43,8;46,4;24,1;13,9;15,6;9,6;5,9;16,9;anteilig geschätzt;Amt Mitteldithmarschen;
01051136;Wrohm;583;497,8;496,7;206,6;0;53,9;100,8;43,7;21,3;19,3;16;1,9;33,2;anteilig geschätzt;KSLG Eider;
01051137;Nordermeldorf;485;421,1;418,8;157,3;0;61,9;78,4;36,5;25,6;22,8;8,2;8,4;19,7;anteilig geschätzt;Amt Mitteldithmarschen;
01051138;Tensbüttel-Röst;544;448,1;446,8;153,6;0;69,6;74,1;52;25,8;20,8;19,4;6,2;25,3;anteilig geschätzt;Amt Mitteldithmarschen;
01051139;Süderdorf;275;238,6;238,5;112;0;28,4;43,8;9,5;12,5;11,4;5,3;6,4;9,2;anteilig geschätzt;KSLG Eider;
01051140;Oesterwurth;205;172,5;172,4;65,3;0;20,5;39,3;19;8,5;8,9;4,4;0,3;6,2;anteilig geschätzt;Amt Büsum-Wesselburen;
01051141;Süderheistedt;416;342,5;341,4;119;0;46,8;62,6;32,4;23,6;11,6;12,3;3,8;29,3;anteilig geschätzt;KSLG Eider;
01053001;Albsfelde;64;60,7;59,7;17,9;0;12,9;5,6;12,1;3,3;4,4;2,2;1,1;0,2;anteilig geschätzt;Amt Lauenburgische Seen;
01053002;Alt-Mölln;626;544,9;543,5;171,2;0;88,7;124,5;55,1;23,2;35;20;6,4;19,4;anteilig geschätzt;Amt Breitenfelde;
01053003;Aumühle;2495;2216,8;2208;754,7;0;363;223,7;446;175,9;139,3;46,7;9,8;48,9;anteilig geschätzt;Amt Hohe Elbgeest;
01053004;Bäk;756;660,2;657,6;227,5;0;84,1;96,7;111,5;49,1;32,5;20,4;8,1;27,7;anteilig geschätzt;Amt Lauenburgische Seen;Römnitz
01053005;Bälau;185;153,5;152,4;48,4;0;16,8;42,1;17,9;11,1;5,2;5,8;0,4;4,7;anteilig geschätzt;Amt Breitenfelde;
01053006;Basedow;527;444,8;442,8;112,3;0;64,4;131,8;40,4;30;20,2;14;9;20,7;anteilig geschätzt;Amt Lütau;
01053007;Basthorst;322;291,5;290,3;83,6;0;48,5;50,3;44,1;21,6;15,6;10,2;5;11,4;anteilig geschätzt;Amt Schwarzenbek-Land;
01053008;Behlendorf;328;298,2;298;84,4;0;45,6;52;63,2;12,5;15,6;10,1;4,4;10,2;anteilig geschätzt;Amt Berkenthin;
01053009;Berkenthin;1718;1484,9;1481,1;396,3;0;307,3;285,8;196,4;60,8;108,4;47,6;15,5;63;anteilig geschätzt;Amt Berkenthin;
01053010;Besenthal;78;71,7;71,7;34,8;0;5,1;16,9;2,8;4,2;6,3;1,2;0,1;0,3;anteilig geschätzt;Amt Büchen;
01053011;Bliestorf;492;431,2;427;112,6;0;79,2;58,5;72,9;20,2;44,8;5,6;4,7;28,5;anteilig geschätzt;Amt Berkenthin;
01053012;Börnsen;3557;3131,4;3119,6;892,3;0;636,8;512,2;503,8;151,2;226,6;103,8;19,8;73,1;anteilig geschätzt;Amt Hohe Elbgeest;
01053013;Borstorf;260;229,6;228,4;67,7;0;25;56,4;28,6;15,8;19,9;6,2;3,6;5,2;anteilig geschätzt;Amt Breitenfelde;
01053014;Breitenfelde;1608;1375,8;1369,8;393,2;0;253;339,1;145;62,7;70,4;49,6;19,5;37,3;anteilig geschätzt;Amt Breitenfelde;
01053015;Bröthen;248;221,8;221,8;67,8;0;31,4;49,8;35,3;12;10,1;4,5;3,7;7,2;anteilig geschätzt;Amt Büchen;
01053016;Brunsmark;135;119,9;118,8;34,9;0;24,6;19,7;11,6;6,3;5,6;3,9;2,4;9,8;anteilig geschätzt;Amt Lauenburgische Seen;
01053017;Brunstorf;574;498,4;498,1;161;0;59,4;112,2;53,1;24,5;40,3;21,5;5,4;20,7;anteilig geschätzt;Amt Schwarzenbek-Land;
01053018;Buchholz;187;179,9;179,7;46,4;0;32,1;7,3;61,1;12,5;10;4,8;1,8;3,7;anteilig geschätzt;Amt Lauenburgische Seen;
01053019;Buchhorst;129;118,8;117,8;33;0;24,6;22,2;16,6;4,7;3,9;4,6;5,3;2,9;anteilig geschätzt;Amt Lütau;
01053020;Büchen;5139;4378,1;4356,2;1255,9;0;842;851,1;577;167,1;317,5;145,6;62,1;137,9;anteilig geschätzt;Amt Büchen;
01053021;Dahmker;134;127,8;127,8;40,8;0;13,1;29;21,1;9;5,8;4,3;0,4;4,3;anteilig geschätzt;Amt Schwarzenbek-Land;
01053022;Dalldorf;281;253,5;252,5;77;0;33,8;61,7;25,8;12,1;11,6;8,7;4,9;16,9;anteilig geschätzt;Amt Lütau;
01053023;Dassendorf;2660;2380,6;2374;800,9;0;432;369,3;343,8;163,5;114,7;69,5;16,7;63,6;anteilig geschätzt;Amt Hohe Elbgeest;
01053024;Düchelsdorf;124;106;103,9;26,9;0;17,5;21,9;11;7,9;6,7;2,8;0,1;9,1;anteilig geschätzt;Amt Berkenthin;
01053025;Duvensee;445;390,9;388,7;127;0;48,1;93,3;47,2;21,5;25,8;11,8;3;11;anteilig geschätzt;Amt Sandesneben-Nusse (Gemeinden Wahlkreis 10);
01053026;Einhaus;336;310;309,8;81,4;0;58,8;50,3;63,6;7,4;31,2;5,5;4;7,6;anteilig geschätzt;Amt Lauenburgische Seen;
01053027;Elmenhorst;605;521,6;517,4;151;0;84;123,9;51,2;38;28,3;17,8;8,2;15;anteilig geschätzt;Amt Schwarzenbek-Land;
01053028;Escheburg;3097;2761,7;2749,3;832,3;0;524,8;487,1;408,4;152,6;172,9;84,7;19;67,5;anteilig geschätzt;Amt Hohe Elbgeest;
01053029;Fitzen;307;276,1;275,1;78,9;0;52,3;64,9;40,5;6,8;18,8;8,3;1,7;2,9;anteilig geschätzt;Amt Büchen;
01053031;Fuhlenhagen;292;271,8;270,6;98;0;45,6;41,7;34,3;18,4;14,3;5,1;2;11,2;anteilig geschätzt;Amt Schwarzenbek-Land;
01053032;Geesthacht, Stadt;22768;18123;18005;4572;0;3893;3808;1834;707;1547;862;178;604;eigene Auszählung;;
01053033;Giesensdorf;113;87,7;86,6;28,1;0;14,2;14,1;13,4;3,5;6,8;2,1;0,4;4;anteilig geschätzt;Amt Lauenburgische Seen;
01053034;Göldenitz;198;190,4;190,4;83,7;0;28;35,4;20,2;6,4;4,6;3,2;5,2;3,7;anteilig geschätzt;Amt Berkenthin;
01053035;Göttin;57;56,6;56,6;9,5;0;9,5;11,1;16,1;2,3;4,4;1,3;2,1;0,3;anteilig geschätzt;Amt Büchen;
01053036;Grabau;275;247,4;247,2;88,1;0;43;37,6;35;9,1;16,8;9,7;1,8;6,1;anteilig geschätzt;Amt Schwarzenbek-Land;
01053037;Grambek;419;376,9;376,7;115,4;0;75,5;77,4;43,7;22,7;20;8,5;3,2;10,3;anteilig geschätzt;Amt Breitenfelde;
01053038;Grinau;239;156,1;154;48,3;0;23,3;25,2;22,3;11,1;11,3;3,1;2,6;6,8;anteilig geschätzt;Amt Sandesneben-Nusse (Gemeinden Wahlkreis 10);
01053039;Groß Boden;173;154,3;152,2;52,1;0;23,6;26,6;20,7;3,9;12,1;6;1,5;5,7;anteilig geschätzt;Amt Sandesneben-Nusse (Gemeinden Wahlkreis 10);
01053040;Groß Disnack;73;66,7;66,6;28,5;0;8,2;10,9;4,5;6,4;3,5;0,3;0,1;4,2;anteilig geschätzt;Amt Lauenburgische Seen;
01053041;Groß Grönau;2958;2690,1;2681;836,6;0;516,3;335;486,9;151,1;178,8;74,6;20,8;80,9;anteilig geschätzt;Amt Lauenburgische Seen;
01053042;Groß Pampau;129;123,4;122,4;55,9;0;14,6;26,1;11,4;5,3;3,5;2,3;0,1;3,2;anteilig geschätzt;Amt Schwarzenbek-Land;
01053043;Groß Sarau;817;746,4;742,8;230;0;117,4;120,2;141,5;38,9;43,2;26,3;6;19,3;anteilig geschätzt;Amt Lauenburgische Seen;
01053044;Groß Schenkenberg;450;397;394,9;99,1;0;72,6;71,8;70,7;13,4;37,7;12,7;0,9;16;anteilig geschätzt;Amt Sandesneben-Nusse (Gemeinden Wahlkreis 10);
01053045;Grove;214;193,5;191,4;61,4;0;29;40,6;13,9;17,1;13,1;9,5;1,5;5,3;anteilig geschätzt;Amt Schwarzenbek-Land;
01053046;Gudow;1416;1214,1;1210,8;372,9;0;216;256,7;131,3;61,9;76,6;42,4;17;36;anteilig geschätzt;Amt Büchen;
01053047;Gülzow;980;841;835,7;239,7;0;170;186,5;88,6;41,6;46,3;25,9;10,8;26,3;anteilig geschätzt;Amt Schwarzenbek-Land;
01053048;Güster;1080;966,6;965,4;291;0;182,5;191,5;109,3;43,9;55,1;48,2;10,6;33,3;anteilig geschätzt;Amt Büchen;
01053049;Hamfelde;416;385,2;383;114,1;0;66,6;74;56,4;29,2;16;14,8;1,9;10;anteilig geschätzt;Amt Schwarzenbek-Land;
01053050;Hamwarde;653;583,5;582,3;202,8;0;101,8;113,7;58,1;28,9;28,8;23,7;5,3;19,2;anteilig geschätzt;Amt Hohe Elbgeest;
01053051;Harmsdorf;248;224,1;223;91,5;0;29,2;39,6;23;16,2;9,7;7,6;1,7;4,5;anteilig geschätzt;Amt Lauenburgische Seen;
01053052;Havekost;149;135,8;133,7;54,8;0;17,9;22,9;11,5;7,5;7,6;3,9;3,6;4;anteilig geschätzt;Amt Schwarzenbek-Land;
01053053;Hohenhorn;406;373,7;370,5;124,3;0;61,4;67,3;46,6;21,9;28,5;7,6;1,9;11;anteilig geschätzt;Amt Hohe Elbgeest;
01053054;Hollenbek;367;313;310,7;87,3;0;51,4;62;45,2;9,7;19,8;18,4;8,4;8,5;anteilig geschätzt;Amt Lauenburgische Seen;
01053056;Hornbek;159;133;130;57,6;0;16,4;22,5;15,8;3,7;3,8;1,5;2,2;6,5;anteilig geschätzt;Amt Breitenfelde;
01053057;Horst;211;185,8;185,7;61,7;0;31,2;36,4;22,3;8,5;14,1;5,8;0,8;4,9;anteilig geschätzt;Amt Lauenburgische Seen;
01053058;Juliusburg;142;122,8;122,8;35,3;0;20,8;34,4;13,8;6,7;6,9;0,6;1,3;3;anteilig geschätzt;Amt Lütau;
01053059;Kankelau;166;151;149,9;44,1;0;24,7;23,8;22,8;1,9;9,7;7,2;3,4;12,3;anteilig geschätzt;Amt Schwarzenbek-Land;
